Iteración,Casilla_1,Casilla_2,Casilla_3,Casilla_4,Casilla_5,Casilla_6,Casilla_7,Casilla_8,Casilla_9,Casilla_10,Casilla_11,Casilla_12,Casilla_13,Casilla_14,Casilla_15,Casilla_16,Casilla_17,Casilla_18,Casilla_19,Casilla_20,Casilla_21,Casilla_22,Casilla_23,Casilla_24,Casilla_25,Casilla_26,Casilla_27,Casilla_28,Casilla_29,Casilla_30,Casilla_31,Casilla_32,Casilla_33,Casilla_34,Casilla_35,Casilla_36,Casilla_37,Casilla_38,Casilla_39,Casilla_40,Casilla_41,Casilla_42,Casilla_43,Casilla_44,Casilla_45,Casilla_46,Casilla_47,Casilla_48,Casilla_49,Casilla_50
10,0.048635829393279296,0.0,0.008090494097063453,0.009437029059023012,0.011008461325551657,0.0,0.012842532658258392,0.006892680959351553,0.008044448519449946,0.02980385860683499,0.04003695454463664,0.016238965731849814,0.0,0.016796692749347992,0.04913977163034089,0.0,0.048735859532443374,0.0,0.0,0.01906368611767345,0.019436734018040094,0.03637183274166369,0.0,0.02525823495105759,0.03224839255586461,0.02200659985509915,0.022525929868626046,0.0230823662472057,0.020932733368156098,0.043530001963411724,0.0275517314010398,0.02680086334548425,0.02762202326140154,0.02847210347814949,0.02934808743321224,0.0,0.04867275053080915,0.026861165819383047,0.026818206595369938,0.0,0.0,0.01698489118941472,0.03873936893247556,0.01815586452829429,0.020077671192568876,0.0,0.03148314985224135,0.06225203194592624,0.0,0.0
11,0.04869017189599244,0.0,0.008105971565546549,0.009454387248390457,0.011027225424894293,0.0,0.012861968979152903,0.006896419523316086,0.00804519968320801,0.029856073694269437,0.0401393206454244,0.016270079214755255,0.0,0.016836151393687156,0.04904095517246974,0.0,0.04882007851794694,0.0,0.0,0.019112053985355378,0.019489886213409618,0.03648941500782188,0.0,0.02534067779204911,0.032348047278531376,0.022063146730716573,0.022553632353620855,0.02306849832871851,0.020853587246308848,0.043454430126356906,0.027387670643060552,0.026604893783923084,0.027403937698987267,0.028253286597783187,0.029151576136273817,0.0,0.048635175363716275,0.026819304674842774,0.026829355087159244,0.0,0.0,0.017058687157593688,0.03886607585922637,0.01823393875610721,0.02012933373968723,0.0,0.03140120756657958,0.06240817891311662,0.0,0.0
12,0.04864355947254432,0.0,0.008115028649332072,0.009466023910256497,0.011041755118321573,0.0,0.012879626022470623,0.006908258869664032,0.008057662123550047,0.029875410859636804,0.0402147488208945,0.01629983042089514,0.0,0.01686784879349553,0.048900436602954844,0.0,0.04888754021017559,0.0,0.0,0.019116197514017302,0.019495514612628675,0.036476238329784,0.0,0.0253948518902351,0.03245334475187508,0.022130013379527892,0.022621862170421426,0.023132486527123297,0.02089566708060607,0.043487462469008184,0.02739022367737551,0.026563494238130373,0.027320452080331455,0.028128836304559195,0.02899296768273664,0.0,0.04849065749677231,0.026674811596780604,0.026710546745267218,0.0,0.0,0.01704730585428638,0.03890193067057301,0.01826223712980368,0.020186231766628957,0.0,0.03141527636872554,0.06255365978861009,0.0,0.0
13,0.048569204146647366,0.0,0.00810725991209072,0.009459764686979398,0.011037435338688813,0.0,0.012877727858409075,0.006917072283396794,0.008068448761674132,0.029884830345297313,0.04023029385546549,0.016322617782702668,0.0,0.016892651849106752,0.04886648957843557,0.0,0.04893370006043021,0.0,0.0,0.019109304267770993,0.01948402905452462,0.03639470597639639,0.0,0.02539238626781407,0.03248008462799285,0.02215602451642336,0.022658327160675125,0.023179385086973918,0.020955426453197132,0.04354734190106914,0.027453472729760328,0.02660961921734373,0.027348532693777475,0.028131631012095815,0.0289643559750018,0.0,0.048425708246835,0.026582734633754993,0.026601287526863367,0.0,0.0,0.016979335973136687,0.03885980980170294,0.018222432477817865,0.02018470869442654,0.0,0.03144058908791144,0.06267127015740964,0.0,0.0
14,0.04853745296868607,0.0,0.00809486735777456,0.009446077343123013,0.011022704790952912,0.0,0.012862277347401047,0.0069136979660280005,0.008066543346594133,0.029895984699970565,0.04021274301553928,0.016329728850707135,0.0,0.016903877171422735,0.0489089660205491,0.0,0.04894847721416315,0.0,0.0,0.019115473581328753,0.019484915651106126,0.03635018662753016,0.0,0.025360283897183047,0.032437785418931685,0.022143418365749817,0.022651205073858545,0.023180254758216966,0.02097770127664655,0.04358574593350816,0.027496098291055253,0.02665832964134983,0.02740059542483656,0.028182296347020283,0.029007670667873936,0.0,0.048450749173164484,0.026579974524175633,0.02657549376024418,0.0,0.0,0.016934955067908892,0.038815009544589246,0.018170527989243,0.020141262412324567,0.0,0.031428009035136394,0.06272865944410567,0.0,0.0
15,0.04854410722554802,0.0,0.008089575494781011,0.009438720054410104,0.01101306627826394,0.0,0.012850183743422759,0.006904321139875255,0.008056604134213255,0.029900391675156873,0.04019961903229348,0.016325207729255505,0.0,0.01690311631313985,0.04895660223164631,0.0,0.04893979724726952,0.0,0.0,0.01912688673435583,0.01949548613600683,0.036360459095342704,0.0,0.025341946386750264,0.0323954357952023,0.022124774196013296,0.022629431660083472,0.02315714656387554,0.02096215791899001,0.0435853281994536,0.027496018471151955,0.02667240394983922,0.027424889162439216,0.028216454220935553,0.02905012781906944,0.0,0.048499381688387445,0.02661660687570751,0.026603547689511814,0.0,0.0,0.016934369576264048,0.03880369129195556,0.018150905482819658,0.020106208129051645,0.0,0.03139096368657915,0.06273406697093746,0.0,0.0
16,0.04856137709383328,0.0,0.008090684537591337,0.009438947120054839,0.01101206712912319,0.0,0.012847578175500514,0.006898590928479635,0.008049311118458843,0.029897936478582746,0.040198550568242494,0.016318519954160268,0.0,0.016897690618465726,0.04897169345115798,0.0,0.048928396811279765,0.0,0.0,0.019133252632009278,0.019503881035545276,0.03638863903171806,0.0,0.025344716836451404,0.03238665880542442,0.02212003569127632,0.022619683601552566,0.02314200785556534,0.020941455766987478,0.04356840138549509,0.02747571238893637,0.026659142834927978,0.027417081127232297,0.028216324044291592,0.029059541987134924,0.0,0.04852413843415457,0.026643876140111815,0.026634576627756527,0.0,0.0,0.016953256042267793,0.038815038880681316,0.018159702572239818,0.02009978702826712,0.0,0.03136134425663806,0.06272040100840331,0.0,0.0
17,0.04856994868316629,0.0,0.008093562848972212,0.009442010271904102,0.011015168125246576,0.0,0.012850512646767107,0.00689821282704498,0.008047977981791587,0.029893799217780122,0.040203505072421764,0.016315327878210707,0.0,0.016893818174653998,0.04895970208432139,0.0,0.04892378805637601,0.0,0.0,0.019132963480150575,0.019505557149074502,0.036404610611332024,0.0,0.02535480809664588,0.03239971234319668,0.022126191390191407,0.022623988566735913,0.023143288994403793,0.020935517131711674,0.043558723239693495,0.027463040517716867,0.02664454944830219,0.027401067305577467,0.02820063355985742,0.02904635292464513,0.0,0.04851869890885539,0.026646038071290228,0.0266434936221542,0.0,0.0,0.016967098533670486,0.03882772241128586,0.018174457948469572,0.020110393525202094,0.0,0.031351969548895034,0.06271178880228456,0.0,0.0
18,0.0485673044852756,0.0,0.008094991447194382,0.00944391858868975,0.011017586967340435,0.0,0.012853448321548198,0.006900208982148332,0.00804991111998916,0.029891086341052742,0.04020708979645496,0.01631566795763426,0.0,0.01689313716287486,0.048944799220108456,0.0,0.04892478090762416,0.0,0.0,0.019129551385891896,0.01950274227014133,0.03640281536875767,0.0,0.02536063686164105,0.0324129352926385,0.022132941946733275,0.022631813265073415,0.023151551834683648,0.020941331565195613,0.04356013580637278,0.027464570277655493,0.026641791640075525,0.02739485131642732,0.028191031106234245,0.029033921867143184,0.0,0.04850363269724784,0.026635217024539602,0.02663546512837094,0.0,0.0,0.016968038433716637,0.03883077745999776,0.018180725439733463,0.0201205276734637,0.0,0.031355930177552185,0.06271313286277688,0.0,0.0
19,0.048561597329510334,0.0,0.008094550747545934,0.009443715988744997,0.011017702420193289,0.0,0.012853966914750027,0.0069016575541287935,0.008051692384486848,0.029890576537992933,0.04020657269162825,0.016316957426865564,0.0,0.01689399403287991,0.048940532398652425,0.0,0.04892696462509942,0.0,0.0,0.01912711954843458,0.01949985525227075,0.03639421854682649,0.0,0.02535981841888184,0.03241596914889058,0.022134780196511737,0.0226353452899853,0.023156857122473985,0.020948313200128313,0.043565654676095494,0.02747178495178287,0.0266470574492857,0.02739853239817608,0.02819237207340173,0.02903228528532683,0.0,0.04849632444761018,0.02662753810452135,0.026626442335265364,0.0,0.0,0.01696238580835973,0.038826627633783785,0.018178249674437486,0.020122589022547082,0.0,0.031361309923261346,0.06271808843926188,0.0,0.0
